student_id,full_name,age,gender,city,email,group_id,enrollment_date,email_valid,instructor,course_id,course_name,category,difficulty_level,avg_grade,attendance_rate_pct,total_concepts,concepts_failed,avg_concept_score,concept_fail_pct,late_rate,avg_time_spent,total_submissions,total_events,total_video_seconds,passed
S0001,Hana Gamal,27,Male,Mansoura,hana.gamal@kayfa-student.io,G03,2025-12-14,True,Dr. Laila ElBaz,C002,Python Programming,Programming,Beginner,69.99090909090908,100.0,24,6,73.99583333333332,25.0,0.0,119.0,3,54,17547.0,True
S0002,Mona Abdelaziz,25,Female,Zagazig,mona.abdelaziz@kayfa-student.io,G06,2025-12-03,True,Dr. Mona Saad,C004,UI/UX Design,Design,Beginner,86.23636363636363,75.0,24,0,87.95,0.0,0.0,54.666666666666664,3,79,18570.0,True
S0003,Menna Naguib,20,Male,Ismailia,menna.naguib@kayfa-student.io,G05,2025-12-17,True,Eng. Khaled Adel,C003,Web Development,Programming,Intermediate,64.93636363636364,80.0,24,2,77.12083333333334,8.333333333333332,0.3333333333333333,127.0,3,64,11317.0,True
S0004,Aya ElShafei,21,Male,Giza,aya.elshafei@kayfa-student.io,G02,2025-12-12,True,Dr. Mona Saad,C001,Data Analytics Fundamentals,Analytics,Beginner,74.26363636363637,75.0,24,0,76.47500000000001,0.0,0.0,121.66666666666667,3,84,17301.0,True
S0005,Habiba Mahmoud,24,Male,Giza,habiba.mahmoud@kayfa-student.io,G01,2025-12-14,True,Eng. Khaled Adel,C001,Data Analytics Fundamentals,Analytics,Beginner,72.74545454545455,50.0,25,7,71.336,28.000000000000004,0.0,99.33333333333333,3,51,11072.0,True
S0006,Aya ElSayed,18,Female,Zagazig,aya.elsayed@kayfa-student.io,G07,2025-12-06,True,Eng. Hossam Refaat,C005,Digital Marketing,Business,Beginner,75.0,20.0,24,10,63.35,41.66666666666667,0.75,79.0,4,62,10119.0,True
S0007,Omar Darwish,25,Male,Asyut,omar.darwish@kayfa-student.io,G04,2025-12-14,True,Eng. Hossam Refaat,C002,Python Programming,Programming,Beginner,72.55454545454546,75.0,24,6,68.45416666666667,25.0,0.3333333333333333,81.66666666666667,3,73,8637.0,True
S0008,Mona Gamal,25,Male,Zagazig,mona.gamal@kayfa-student.io,G04,2025-12-04,True,Eng. Hossam Refaat,C002,Python Programming,Programming,Beginner,83.55,100.0,24,0,84.47083333333333,0.0,0.0,86.33333333333333,3,67,15546.0,True
S0009,Mahmoud Awad,23,Female,Ismailia,mahmoud.awad@kayfa-student.io,G01,2025-12-05,True,Eng. Khaled Adel,C001,Data Analytics Fundamentals,Analytics,Beginner,73.04545454545455,75.0,25,9,63.083999999999996,36.0,0.6666666666666666,128.33333333333334,3,51,7788.0,True
S0010,Abdelrahman ElBaz,25,Female,Mansoura,abdelrahman.elbaz@kayfa-student.io,G05,2025-12-02,True,Eng. Khaled Adel,C003,Web Development,Programming,Intermediate,66.90833333333333,80.0,24,7,64.10000000000001,29.166666666666668,0.0,150.0,3,89,13753.0,True
S0011,Menna Saad,25,Female,Alexandria,menna.saad@kayfa-student.io,G08,2025-12-08,True,Dr. Laila ElBaz,C006,Machine Learning Basics,Analytics,Advanced,71.84545454545454,100.0,25,7,71.324,28.000000000000004,0.0,145.33333333333334,3,69,14113.0,True
S0012,Ziad Gamal,20,Female,Port Said,ziad.gamal@kayfa-student.io,G04,2025-12-15,True,Eng. Hossam Refaat,C002,Python Programming,Programming,Beginner,66.84545454545454,100.0,24,6,66.2,25.0,0.3333333333333333,82.33333333333333,3,52,8809.0,True
S0013,Hassan Zaki,21,Female,Giza,hassan.zaki@kayfa-student.io,G07,2025-12-08,True,Eng. Hossam Refaat,C005,Digital Marketing,Business,Beginner,53.64545454545455,60.0,25,11,64.212,44.0,1.0,159.66666666666666,3,47,8289.0,False
S0014,Ali Refaat,17,Male,Ismailia,ali.refaat@kayfa-student.io,Unassigned,2025-12-18,True,,,,,,83.53636363636363,75.0,24,0,83.05,0.0,0.0,115.0,3,68,9365.0,True
S0015,Fady ElMasry,25,Female,Asyut,missing@,G02,2025-12-08,False,Dr. Mona Saad,C001,Data Analytics Fundamentals,Analytics,Beginner,66.45454545454545,75.0,24,5,67.85416666666667,20.833333333333336,0.3333333333333333,99.33333333333333,3,59,12049.0,True
S0016,Mostafa Halim,22,Female,Zagazig,mostafa.halim@kayfa-student.io,G01,2025-12-14,True,Eng. Khaled Adel,C001,Data Analytics Fundamentals,Analytics,Beginner,81.96363636363637,75.0,24,0,83.97500000000001,0.0,0.0,127.66666666666667,3,88,16099.0,True
S0017,Tarek ElMasry,18,Male,Tanta,tarek.elmasry@kayfa-student.io,G02,2025-12-06,True,Dr. Mona Saad,C001,Data Analytics Fundamentals,Analytics,Beginner,66.55454545454546,75.0,24,8,65.13333333333334,33.33333333333333,0.3333333333333333,122.0,3,58,6926.0,True
S0018,Malak Abdelaziz,23,Female,Asyut,malak.abdelaziz@kayfa-student.io,G09,2025-12-16,True,Dr. Mona Saad,C006,Machine Learning Basics,Analytics,Advanced,77.88181818181819,75.0,24,3,73.41250000000001,12.5,0.3333333333333333,155.33333333333334,3,44,7219.0,True
S0019,Tarek Naguib,23,Male,Port Said,tarek.naguib@kayfa-student.io,G04,2025-12-04,True,Eng. Hossam Refaat,C002,Python Programming,Programming,Beginner,64.81818181818181,50.0,24,8,63.2875,33.33333333333333,0.3333333333333333,84.0,3,53,4828.0,True
S0020,Mostafa ElGhandour,24,Female,Mansoura,mostafa.elghandour@kayfa-student.io,G06,2025-12-10,True,Dr. Mona Saad,C004,UI/UX Design,Design,Beginner,73.76363636363637,75.0,24,5,70.99166666666666,20.833333333333336,0.3333333333333333,121.0,3,66,16450.0,True
S0021,Abdelrahman Mahmoud,18,Male,Fayoum,abdelrahman.mahmoud@kayfa-student.io,G01,2025-12-05,True,Eng. Khaled Adel,C001,Data Analytics Fundamentals,Analytics,Beginner,79.04545454545455,100.0,24,1,81.70833333333333,4.166666666666666,0.6666666666666666,64.0,3,66,17156.0,True
S0022,Ziad Kamel,22,Male,Alexandria,ziad.kamel@kayfa-student.io,G02,2025-12-20,True,Dr. Mona Saad,C001,Data Analytics Fundamentals,Analytics,Beginner,75.69090909090909,100.0,24,3,71.34583333333333,12.5,0.3333333333333333,154.66666666666666,3,73,14495.0,True
